,idx,answer,predict,acc,dataset
0,0-mmlu,A,D,0,mmlu
1,1-mmlu,B,D,0,mmlu
2,2-mmlu,A,D,0,mmlu
3,3-mmlu,C,D,0,mmlu
4,4-mmlu,C,D,0,mmlu
5,5-mmlu,D,D,1,mmlu
6,6-mmlu,B,D,0,mmlu
7,7-mmlu,D,D,1,mmlu
8,8-mmlu,B,D,0,mmlu
9,9-mmlu,C,D,0,mmlu
10,10-mmlu,B,D,0,mmlu
11,11-mmlu,D,D,1,mmlu
12,12-mmlu,B,C,0,mmlu
13,13-mmlu,C,C,1,mmlu
14,14-mmlu,C,C,1,mmlu
15,15-mmlu,B,D,0,mmlu
16,16-mmlu,C,D,0,mmlu
17,17-mmlu,A,D,0,mmlu
18,18-mmlu,D,D,1,mmlu
19,19-mmlu,C,D,0,mmlu
20,20-mmlu,B,D,0,mmlu
21,21-mmlu,B,A,0,mmlu
22,22-mmlu,B,D,0,mmlu
23,23-mmlu,C,C,1,mmlu
24,24-mmlu,D,D,1,mmlu
25,25-mmlu,D,D,1,mmlu
26,26-mmlu,B,D,0,mmlu
27,27-mmlu,D,A,0,mmlu
28,28-mmlu,A,A,1,mmlu
29,29-mmlu,C,D,0,mmlu
30,30-mmlu,B,C,0,mmlu
31,31-mmlu,D,D,1,mmlu
32,32-mmlu,D,C,0,mmlu
33,33-mmlu,A,D,0,mmlu
34,34-mmlu,A,A,1,mmlu
35,35-mmlu,B,D,0,mmlu
36,36-mmlu,A,C,0,mmlu
37,37-mmlu,C,D,0,mmlu
38,38-mmlu,B,D,0,mmlu
39,39-mmlu,D,D,1,mmlu
40,40-mmlu,A,A,1,mmlu
41,41-mmlu,C,D,0,mmlu
42,42-mmlu,B,C,0,mmlu
43,43-mmlu,A,D,0,mmlu
44,44-mmlu,A,C,0,mmlu
45,45-mmlu,C,A,0,mmlu
46,46-mmlu,A,D,0,mmlu
47,47-mmlu,B,D,0,mmlu
48,48-mmlu,B,C,0,mmlu
49,49-mmlu,A,D,0,mmlu
50,50-mmlu,A,C,0,mmlu
51,51-mmlu,A,D,0,mmlu
52,52-mmlu,D,A,0,mmlu
53,53-mmlu,B,D,0,mmlu
54,54-mmlu,D,C,0,mmlu
